Date,Site,Stream,Time,DO,TEMP,Conductivity,Specific Cond,Salinity,pH,Turbidity,Flow,Year,Precipitation,Fecal Coliform,Season,Watershed,Cu,Zn,Pb,TKN,NO3_NO2,TN,TP,TSS,Monitoring.Basin,BIBI
4/8/2010,LS-1,Little Swamp Creek,11:00:00 AM,10.4,7.7,72,107.8,0.1,7.01,lite turbidity,1.5,2010,Wet,850,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
5/21/2010,LS-1,Little Swamp Creek,2:05:00 PM,9.36,13,132.5,171.8,0.1,7.41,meter off,0.03,2010,Wet,10,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
6/24/2010,LS-1,Little Swamp Creek,2:32:00 PM,7.81,15.8,155.8,188.8,0.1,7.73,3.31,0.01,2010,Wet,22,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
7/15/2010,LS-1,Little Swamp Creek,2:10:00 PM,5.62,16.9,172.3,203.7,0.1,6.98,n/a,0.01,2010,Dry,15,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
8/19/2010,LS-1,Little Swamp Creek,11:05:00 AM,6.34,16.5,165.6,197,0.1,n/a,1.49,0.007,2010,Wet,250,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
9/28/2010,LS-1,Little Swamp Creek,10:20:00 AM,6.41,16.5,175.5,209.7,0.1,7.62,3.5,0.1,2010,Wet,280,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
10/21/2010,LS-1,Little Swamp Creek,12:55:00 PM,8.39,11.6,147.7,198.7,0.1,7.91,4.49,0.07,2010,Dry,90,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
11/29/2010,LS-1,Little Swamp Creek,11:16:00 AM,11.3,8.1,131,193.3,0.1,7.17,2.84,1,2010,Dry,170,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
12/17/2010,LS-1,Little Swamp Creek,10:08:00 AM,11.12,7.3,87.7,132.5,0.1,6.8,5.17,0.75,2010,Wet,10,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
1/20/2011,LS-1,Little Swamp Creek,11:05:00 AM,11.59,5.7,89,140.9,0.1,,4.01,0.5,2011,Wet,75,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
2/22/2011,LS-1,Little Swamp Creek,11:05:00 AM,12.34,6.8,105,160.7,0.1,7.69,1.05,0.75,2011,Wet,5,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
3/22/2011,LS-1,Little Swamp Creek,3:34:00 PM,10.62,9.1,96.1,138.6,0.1,7.83,4.71,0.5,2011,Dry,5,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
4/20/2011,LS-1,Little Swamp Creek,3:32:00 PM,10.14,10.4,103.1,143.2,0.1,n/c,2.16,0.07,2011,Wet,55,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
5/19/2011,LS-1,Little Swamp Creek,3:38:00 PM,9.44,14,118.3,150.1,0.1,7.03,3.37,0.5,2011,Dry,220,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
6/15/2011,LS-1,Little Swamp Creek,1:51:00 PM,10.61,14.1,131.6,166.1,0.1,7.8,3.89,0.06,2011,Wet,85,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
7/18/2011,LS-1,Little Swamp Creek,1:47:00 PM,10.37,16.3,164.2,196.5,0.1,7.52,2.81,0.02,2011,Dry,100,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
